numero_economico,placa,tipo,marca,modelo,año,capacidad_combustible,rendimiento_esperado,kilometraje_actual
ECO L01 , 32AL9D,LOCAL,,,,600,3.5,0
ECO L02 , 13AN4V,LOCAL,,,,600,3.5,0
ECO L03 , NC0347C,LOCAL,,,,600,3.5,0
ECO L04 , NC0348C,LOCAL,,,,600,3.5,0
ECO L05 , NC0326C,LOCAL,,,,600,3.5,0
ECO L06 , 17AN4V,LOCAL,,,,600,3.5,0
ECO L07 , 09BB4R,LOCAL,,,,600,3.5,0
ECO L08 , 08BB4R,LOCAL,,,,600,3.5,0
ECO L09 , NC0651C,LOCAL,,,,600,3.5,0
ECO L10 , NC1229C,LOCAL,,,,600,3.5,0
ECO L11 , NC1374C,LOCAL,,,,600,3.5,0
ECO L12 , NC0650C,LOCAL,,,,600,3.5,0
ECO L13 , 27AY4M,LOCAL,,,,600,3.5,0
ECO L14 , 34AK5C,LOCAL,,,,600,3.5,0
ECO L17 , 68AL9D,LOCAL,,,,600,3.5,0
ECO L15, NH4246C,LOCAL,,,,600,3.5,0
ECO L16 , 04AL9D,LOCAL,,,,600,3.5,0
ECO L18 , NH4430C,LOCAL,,,,600,3.5,0
ECO L19 , NH4428C,LOCAL,,,,600,3.5,0
ECO L22 , NH4599C,LOCAL,,,,600,3.5,0
ECO L23 , 92BE8H,LOCAL,,,,600,3.5,0
ECO L-21 , 71BF9Z,LOCAL,,,,600,3.5,0
ECO LE-01 , 15BG7A,LOCAL,,,,600,3.5,0
ECO LE-02 , NC7006C,LOCAL,,,,600,3.5,0
ECO LE-03 , NS7005C,LOCAL,,,,600,3.5,0
ECO LE-04 , NS7008C,LOCAL,,,,600,3.5,0
ECO LE-05 , NS7007C,LOCAL,,,,600,3.5,0
ECO LE-06 , NB7690D,LOCAL,,,,600,3.5,0
ECO LE-07 , 06BK1E,LOCAL,,,,600,3.5,0
ECO LE-08 , ND0814D,LOCAL,,,,600,3.5,0
ECO LE-09 , ND0818D,LOCAL,,,,600,3.5,0
ECO LE-10 , ND9597D,LOCAL,,,,600,3.5,0
ECO 01 , 22BH6J,FORANEA,,,,600,3.5,0
ECO 02 , 53BH6J,FORANEA,,,,600,3.5,0
ECO 03 , 47BA9L,FORANEA,,,,600,3.5,0
ECO 04 , 19BH6J,FORANEA,,,,600,3.5,0
ECO 05 , 908FE8,FORANEA,,,,600,3.5,0
ECO 06 , 94AL8D,FORANEA,,,,600,3.5,0
ECO 07 , 59BG7A,FORANEA,,,,600,3.5,0
ECO 08 , 36BG7A ,FORANEA,,,,600,3.5,0
ECO 09 , 38AX5E,FORANEA,,,,600,3.5,0
ECO 10 , 57BG7A,FORANEA,,,,600,3.5,0
ECO 12 , 42BD7B,FORANEA,,,,600,3.5,0
ECO 11 , 81BH1J,FORANEA,,,,600,3.5,0
ECO 13 , 58BG7A,FORANEA,,,,600,3.5,0
ECO 14 , 84BD7B ,FORANEA,,,,600,3.5,0
ECO 15 , 13AR9V,FORANEA,,,,600,3.5,0
ECO 16 , 24AR9V,FORANEA,,,,600,3.5,0
ECO 17 , 77AR9V,FORANEA,,,,600,3.5,0
ECO 18 , 37AX5E,FORANEA,,,,600,3.5,0
ECO 19 , 39AX5E,FORANEA,,,,600,3.5,0
ECO 20 , 85AX5E,FORANEA,,,,600,3.5,0
ECO 21 , 53AY4M,FORANEA,,,,600,3.5,0
ECO 22 , 70AY4M,FORANEA,,,,600,3.5,0
ECO 23 , 85BD7B,FORANEA,,,,600,3.5,0
ECO 24 , 87BD7B,FORANEA,,,,600,3.5,0
ECO 25 , 86BD7B,FORANEA,,,,600,3.5,0
ECO 26 ,  03BE8H,FORANEA,,,,600,3.5,0
ECO 27 , 90AY4M,FORANEA,,,,600,3.5,0
ECO 28 ,  04BE8H,FORANEA,,,,600,3.5,0
ECO 29 , 16BE8H,FORANEA,,,,600,3.5,0
ECO 30 , 18BE8H,FORANEA,,,,600,3.5,0
ECO 31 , 17BE8H,FORANEA,,,,600,3.5,0
ECO 32 , 92BE8H ,FORANEA,,,,600,3.5,0
ECO 001 ,61AD1F ,FORANEA,,,,600,3.5,0
ECO E-01 , 82BH1J,ESPERANZA,,,,600,3.5,0
ECO E-02 , 85BH1J,ESPERANZA,,,,600,3.5,0
ECO E-03 , 21BH6J,ESPERANZA,,,,600,3.5,0
ECO E-04 , 20BH6J,ESPERANZA,,,,600,3.5,0
ECO E-05 , 23BH6J,ESPERANZA,,,,600,3.5,0
ECO E-06 , 52BH6J,ESPERANZA,,,,600,3.5,0
ECO E-07 , 50BH6J,ESPERANZA,,,,600,3.5,0
ECO E-08 , 49BH6J,ESPERANZA,,,,600,3.5,0
ECO E-09 , 51BH6J,ESPERANZA,,,,600,3.5,0
ECO E-10 , 47BH6J,ESPERANZA,,,,600,3.5,0
ECO E-11 , 48BH6J,ESPERANZA,,,,600,3.5,0
