ECONOMICO,PLACAS,MARCA,MODELO,COLOR,NO. DE SERIE,VIGENCIA DOBLE ARTICULADO,VERIFICACION
CHASIS 1,84-UE-6T,MARGO,,ROSA,3A9FM4040KM050121,06/11/2026,SI
CHASIS 2,86-UE-6T,MARGO,,ROSA,3A9FM4044KM050123,06/11/2026,SI
CHASIS 3,69-UE-3W,MARGO,,ROSA,3A9FM4046KM050205,06/11/2026,SI
CHASIS 4,09UZ9L,REINOC,,ROSA,3R9SP4025KT049080,06/11/2026,SI
CHASIS 5,85-UE-6T,MARGO,,ROSA,3A9FM4042KM050122,06/11/2026,SI
CHASIS 6,61-UN-4Y,AJAX,,ROSA,CB731762,N/A,SI
CHASIS 7,17UX2Z,CHIEF,,ROSA,3C9BM1227SC222245,13/03/2028,SI
CHASIS 8,16-UF-9L,MARGO,,AZUL,3A9FM4042LM050011,06/11/2026,SI
CHASIS 9,62-UE-5W,MARGO,,ROSA,3A9FM4045KM050325,06/11/2026,SI
PLANA 10,07-UE-5W,MARGO,,ROSA,3A9PM4049KM050221,06/11/2026,SI
PLANA 11,43-UF-9L,MARGO,,ROSA,3A9PM4042LM050014,06/11/2026,SI
CHASIS 12,44-UF-9L,MARGO,,ROSA,3A9FM4046LM050013,06/11/2026,SI
CHASIS 13,79-UF-9L,MARGO,,ROSA,3A9FM4038AM050289,N/A,SI
CHASIS 14,92-UF-9L,HYUNDAI,,ROSA,145C412SOHL009313,N/A,SI
CHASIS 15,78-UF-9L,HYUNDAI,,ROSA,145C412S8HL009334,N/A,SI
CHASIS 16,03-UF-6M,MARGO,,ROSA,3A9FM4045LM050083,06/11/2026,SI
CHASIS 17,04-UF-6M,MARGO,,ROSA,3A9FM2041LM050084,06/11/2026,SI
CHASIS 18,49UM5V,CHIEF,,ROSA,3C9BM1226PC222051,06/11/2026,SI
CHASIS 19,44UM5V,CHIEF,,ROSA,3C9BM1224PC222050,06/11/2026,SI
CHASIS 20,69-UG-5Y,CHIEF,,ROSA,3C9BM1223MC222049,01/12/2026,SI
CHASIS 21,70-UG-5Y,CHIEF,,ROSA,3C9BM122XMC222050,14/06/2027,SI
CHASIS 22,68-UG-5Y,ROME,,ROSA,3J9RA4024ME090008,01/12/2026,SI
CHASIS 23,67-UG-5Y,ROME,,ROSA,3J9RA4022ME090007,01/12/2026,SI
CHASIS 24,33-UK-2U,ROME,,ROSA,3J9RA4028NE090031,06/11/2026,SI
CHASIS 25,34UK2U,ROME,,ROSA,3J9RA4026NE090030,06/11/2026,SI
CHASIS 26,47UM4V,CHIEF,,ROSA,3C9BM1228NC222243,16/06/2026,SI
CHASIS 27,50UM4V,CHIEF,,ROSA,3C9BM122XNC222244,16/06/2026,SI
CHASIS 28,49UM4V,CHIEF,,ROSA,3C9BM1224NC222241,16/06/2026,SI
CHASIS 29,48UM4V,CHIEF,,ROSA,3C9BM1222NC222240,16/06/2026,SI
CHASIS 30,48UM5V,CHIEF,,ROSA,3C9BM1227PC222057,06/11/2026,SI
CHASIS 31,14UX1C,CHIEF,,ROSA,3J9RA402XSE090141,29/08/2027,SI
CHASIS 32,13UX1C,CHIEF,,ROSA,3J9RA4021SE090142,29/08/2027,SI
CHASIS 33,46UM5V,CHIEF,,ROSA,3C9BM1221PC222054,06/11/2026,SI
